AttributeError: 'ConfigurationManager' object has no attribute 'get_training_config'
[2024-08-14 15:12:18,626: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2024-08-14 15:12:18,627: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-08-14 15:12:18,628: INFO: common: yaml file: params.yaml loaded successfully]
[2024-08-14 15:12:18,628: INFO: common: created directory at: artifacts]
[2024-08-14 15:12:18,628: INFO: common: created directory at: artifacts/data_ingestion]
[2024-08-14 15:12:18,628: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1w0uM3pK-bXDkGEe1kRTuObX_ThC5ZciK/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-08-14 15:12:26,085: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1w0uM3pK-bXDkGEe1kRTuObX_ThC5ZciK/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-08-14 15:12:26,432: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<

x==========x]
